Season,Club,GK_Ability,team_offensive_ability,team_possession_ability,team_defensive_ability,GF/MP,GA/MP,Pts/MP
2023-2024,Liverpool,205.35,1784.217,1385.0405,1295.196,2.25,0.9375,2.31
2023-2024,Arsenal,204,1749.0725,1349.4125,1316.32,2.0625,0.9375,2.25
2023-2024,Aston Villa,194.1,1568.4565,1280.52,1252.105,2.1875,1.25,2.19
2023-2024,Man City,202.1,1704.78625,1352.691,1296.0035,2.375,1.125,2.06
2023-2024,Tottenham,195.8,1590.96625,1287.77075,1254.5025,2.0625,1.4375,1.88
2023-2024,Man United,193,1570.99325,1284.86325,1251.043,1.125,1.3125,1.69
2023-2024,Newcastle,196.15,1712.4855,1274.44,1223.783,2.0625,1.3125,1.63
2023-2024,Brighton,179.05,1617.212,1269.13425,1274.491,2.0625,1.75,1.63
2023-2024,West Ham,192.65,1704.46225,1209.5015,1186.9975,1.625,1.875,1.5
2023-2024,Fulham,192.3,1547.3465,1215.2305,1193.653,1.625,1.625,1.31
2023-2024,Brentford,187.65,1589.6865,1175.3135,1157.127,1.4375,1.375,1.19
2023-2024,Chelsea,186.7,1535.8495,1260.095,1237.5205,1.625,1.625,1.19
2023-2024,Wolves,128.7275,1502.803,1147.4075,1147.522,1.3125,1.625,1.19
2023-2024,Bournemouth,187.95,1484.692,1204.88375,1147.715,1.3125,1.875,1.19
2023-2024,Crystal Palace,187.95,1485.115,1153.35,1182.3165,0.9375,1.4375,1
2023-2024,Nott'm Forest,189.1,1450.727,1120.6955,1265.483,1.0625,1.75,0.88
2023-2024,Everton,190.95,1529.3155,1129.89625,1175.108,1.25,1.25,0.81
2023-2024,Luton,182.65,1592.92,1070.513,1057.81875,1.0625,2,0.56
2023-2024,Burnley,115.4775,1575.573,1231.27,1119.808,1,2.125,0.5
2023-2024,Sheffield United,127.8275,1414.6685,1058.3235,1129.5825,0.75,2.5625,0.5
